REF_DATE,Year,Province,Age_Group_Category,Male_Population,Female_Population,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate
01-01-1991,1991,Alberta,Adults (18+),938458.0,935857.0,0.0,0.0,256630.0,28902.0,2572947.0
01-01-1991,1991,Alberta,All Ages,1306905.0,1285401.0,0.0,0.0,256630.0,28902.0,2572947.0
01-01-1991,1991,Alberta,Children (0–17),340908.25,323345.5,0.0,0.0,256630.0,28902.0,2572947.0
01-01-1991,1991,Alberta,Elderly (90+),2183.0,4900.0,0.0,0.0,256630.0,28902.0,2572947.0
01-01-1991,1991,Alberta,Working Age (15–64),873784.3333333334,839629.3333333334,0.0,0.0,256630.0,28902.0,2572947.0
01-01-1991,1991,Alberta,Youth & Adults (15–49),738578.0,709001.0,0.0,0.0,256630.0,28902.0,2572947.0
01-01-1991,1991,British Columbia,Adults (18+),1269947.0,1299830.0,0.0,0.0,273628.0,47954.0,3339935.0
01-01-1991,1991,British Columbia,All Ages,1681631.0,1692156.0,0.0,0.0,273628.0,47954.0,3339935.0
01-01-1991,1991,British Columbia,Children (0–17),378557.5,360945.5,0.0,0.0,273628.0,47954.0,3339935.0
01-01-1991,1991,British Columbia,Elderly (90+),3598.0,9040.0,0.0,0.0,273628.0,47954.0,3339935.0
01-01-1991,1991,British Columbia,Working Age (15–64),1128926.6666666667,1098771.6666666667,0.0,0.0,273628.0,47954.0,3339935.0
01-01-1991,1991,British Columbia,Youth & Adults (15–49),916364.0,892479.0,0.0,0.0,273628.0,47954.0,3339935.0
01-01-1991,1991,Canada,Adults (18+),10344933.0,10749340.0,0.0,0.0,2413304.0,391138.0,27790000.0
01-01-1991,1991,Canada,All Ages,13904391.0,14133029.0,0.0,0.0,2413304.0,391138.0,27790000.0
01-01-1991,1991,Canada,Children (0–17),3264764.25,3105549.25,0.0,0.0,2413304.0,391138.0,27790000.0
01-01-1991,1991,Canada,Elderly (90+),25348.0,69667.0,0.0,0.0,2413304.0,391138.0,27790000.0
01-01-1991,1991,Canada,Working Age (15–64),9389812.0,9255751.0,0.0,0.0,2413304.0,391138.0,27790000.0
01-01-1991,1991,Canada,Youth & Adults (15–49),7715583.0,7544172.0,0.0,0.0,2413304.0,391138.0,27790000.0
01-01-1991,1991,Manitoba,Adults (18+),400988.0,417374.0,0.0,0.0,103642.0,17886.0,1106196.0
01-01-1991,1991,Manitoba,All Ages,550569.0,559035.0,0.0,0.0,103642.0,17886.0,1106196.0
01-01-1991,1991,Manitoba,Children (0–17),136843.25,129924.0,0.0,0.0,103642.0,17886.0,1106196.0
01-01-1991,1991,Manitoba,Elderly (90+),1387.0,3799.0,0.0,0.0,103642.0,17886.0,1106196.0
01-01-1991,1991,Manitoba,Working Age (15–64),355806.6666666667,347592.3333333333,0.0,0.0,103642.0,17886.0,1106196.0
01-01-1991,1991,Manitoba,Youth & Adults (15–49),293978.0,283808.0,0.0,0.0,103642.0,17886.0,1106196.0
01-01-1991,1991,New Brunswick,Adults (18+),272744.0,283617.0,0.0,0.0,56978.0,10938.0,743210.0
01-01-1991,1991,New Brunswick,All Ages,369810.0,375757.0,0.0,0.0,56978.0,10938.0,743210.0
01-01-1991,1991,New Brunswick,Children (0–17),88079.0,83552.75,0.0,0.0,56978.0,10938.0,743210.0
01-01-1991,1991,New Brunswick,Elderly (90+),813.0,2127.0,0.0,0.0,56978.0,10938.0,743210.0
01-01-1991,1991,New Brunswick,Working Age (15–64),246715.66666666666,243603.66666666666,0.0,0.0,56978.0,10938.0,743210.0
01-01-1991,1991,New Brunswick,Youth & Adults (15–49),206089.0,201487.0,0.0,0.0,56978.0,10938.0,743210.0
01-01-1991,1991,Newfoundland and Labrador,Adults (18+),208425.0,210214.0,0.0,0.0,42968.0,7596.0,577377.0
01-01-1991,1991,Newfoundland and Labrador,All Ages,290868.0,288776.0,0.0,0.0,42968.0,7596.0,577377.0
01-01-1991,1991,Newfoundland and Labrador,Children (0–17),73938.75,70807.75,0.0,0.0,42968.0,7596.0,577377.0
01-01-1991,1991,Newfoundland and Labrador,Elderly (90+),425.0,1046.0,0.0,0.0,42968.0,7596.0,577377.0
01-01-1991,1991,Newfoundland and Labrador,Working Age (15–64),194614.0,189969.0,0.0,0.0,42968.0,7596.0,577377.0
01-01-1991,1991,Newfoundland and Labrador,Youth & Adults (15–49),165865.0,161967.0,0.0,0.0,42968.0,7596.0,577377.0
01-01-1991,1991,Northwest Territories,Adults (18+),13839.0,12118.0,,,,,
01-01-1991,1991,Northwest Territories,All Ages,20372.0,18352.0,,,,,
01-01-1991,1991,Northwest Territories,Children (0–17),6094.0,5837.5,,,,,
01-01-1991,1991,Northwest Territories,Elderly (90+),23.0,30.0,,,,,
01-01-1991,1991,Northwest Territories,Working Age (15–64),13772.333333333334,12088.666666666666,,,,,
01-01-1991,1991,Northwest Territories,Youth & Adults (15–49),12414.0,11058.0,,,,,
01-01-1991,1991,Nova Scotia,Adults (18+),336158.0,353306.0,0.0,0.0,72112.0,14510.0,912792.0
01-01-1991,1991,Nova Scotia,All Ages,451631.0,463338.0,0.0,0.0,72112.0,14510.0,912792.0
01-01-1991,1991,Nova Scotia,Children (0–17),105142.5,100447.5,0.0,0.0,72112.0,14510.0,912792.0
01-01-1991,1991,Nova Scotia,Elderly (90+),962.0,2815.0,0.0,0.0,72112.0,14510.0,912792.0
01-01-1991,1991,Nova Scotia,Working Age (15–64),301762.0,300012.3333333333,0.0,0.0,72112.0,14510.0,912792.0
01-01-1991,1991,Nova Scotia,Youth & Adults (15–49),249764.0,245775.0,0.0,0.0,72112.0,14510.0,912792.0
01-01-1991,1991,Nunavut,Adults (18+),6604.0,5799.0,,,,,
01-01-1991,1991,Nunavut,All Ages,11590.0,10564.0,,,,,
01-01-1991,1991,Nunavut,Children (0–17),4679.25,4480.75,,,,,
01-01-1991,1991,Nunavut,Elderly (90+),1.0,4.0,,,,,
01-01-1991,1991,Nunavut,Working Age (15–64),6772.0,5987.0,,,,,
01-01-1991,1991,Nunavut,Youth & Adults (15–49),6204.0,5523.0,,,,,
01-01-1991,1991,Ontario,Adults (18+),3867257.0,4043299.0,0.0,0.0,909316.0,145834.0,10355101.0
01-01-1991,1991,Ontario,All Ages,5160771.0,5270545.0,0.0,0.0,909316.0,145834.0,10355101.0
01-01-1991,1991,Ontario,Children (0–17),1186069.75,1126281.0,0.0,0.0,909316.0,145834.0,10355101.0
01-01-1991,1991,Ontario,Elderly (90+),8918.0,27592.0,0.0,0.0,909316.0,145834.0,10355101.0
01-01-1991,1991,Ontario,Working Age (15–64),3509408.0,3476220.0,0.0,0.0,909316.0,145834.0,10355101.0
01-01-1991,1991,Ontario,Youth & Adults (15–49),2871874.0,2825920.0,0.0,0.0,909316.0,145834.0,10355101.0
01-01-1991,1991,Prince Edward Island,Adults (18+),46347.0,48679.0,0.0,0.0,11296.0,2376.0,130477.0
01-01-1991,1991,Prince Edward Island,All Ages,64427.0,65942.0,0.0,0.0,11296.0,2376.0,130477.0
01-01-1991,1991,Prince Edward Island,Children (0–17),16534.0,15816.0,0.0,0.0,11296.0,2376.0,130477.0
01-01-1991,1991,Prince Edward Island,Elderly (90+),223.0,524.0,0.0,0.0,11296.0,2376.0,130477.0
01-01-1991,1991,Prince Edward Island,Working Age (15–64),41082.333333333336,40825.333333333336,0.0,0.0,11296.0,2376.0,130477.0
01-01-1991,1991,Prince Edward Island,Youth & Adults (15–49),33733.0,33422.0,0.0,0.0,11296.0,2376.0,130477.0
01-01-1991,1991,Quebec,Adults (18+),2619278.0,2765247.0,0.0,0.0,581654.0,98242.0,7026241.0
01-01-1991,1991,Quebec,All Ages,3481065.0,3586331.0,0.0,0.0,581654.0,98242.0,7026241.0
01-01-1991,1991,Quebec,Children (0–17),789881.25,752633.5,0.0,0.0,581654.0,98242.0,7026241.0
01-01-1991,1991,Quebec,Elderly (90+),5112.0,14453.0,0.0,0.0,581654.0,98242.0,7026241.0
01-01-1991,1991,Quebec,Working Age (15–64),2399251.3333333335,2391277.3333333335,0.0,0.0,581654.0,98242.0,7026241.0
01-01-1991,1991,Quebec,Youth & Adults (15–49),1960708.0,1922069.0,0.0,0.0,581654.0,98242.0,7026241.0
01-01-1991,1991,Saskatchewan,Adults (18+),354036.0,364131.0,0.0,0.0,91862.0,16196.0,1002651.0
01-01-1991,1991,Saskatchewan,All Ages,499644.0,503069.0,0.0,0.0,91862.0,16196.0,1002651.0
01-01-1991,1991,Saskatchewan,Children (0–17),134080.75,127846.5,0.0,0.0,91862.0,16196.0,1002651.0
01-01-1991,1991,Saskatchewan,Elderly (90+),1690.0,3324.0,0.0,0.0,91862.0,16196.0,1002651.0
01-01-1991,1991,Saskatchewan,Working Age (15–64),307246.6666666667,300094.6666666667,0.0,0.0,91862.0,16196.0,1002651.0
01-01-1991,1991,Saskatchewan,Youth & Adults (15–49),250811.0,243048.0,0.0,0.0,91862.0,16196.0,1002651.0
01-01-1991,1991,Yukon,Adults (18+),10852.0,9869.0,0.0,0.0,3406.0,228.0,28223.0
01-01-1991,1991,Yukon,All Ages,15108.0,13763.0,0.0,0.0,3406.0,228.0,28223.0
01-01-1991,1991,Yukon,Children (0–17),3956.0,3631.0,0.0,0.0,3406.0,228.0,28223.0
01-01-1991,1991,Yukon,Elderly (90+),13.0,13.0,0.0,0.0,3406.0,228.0,28223.0
01-01-1991,1991,Yukon,Working Age (15–64),10670.0,9679.666666666666,0.0,0.0,3406.0,228.0,28223.0
01-01-1991,1991,Yukon,Youth & Adults (15–49),9201.0,8615.0,0.0,0.0,3406.0,228.0,28223.0
01-01-1992,1992,Alberta,Adults (18+),951495.0,951698.0,0.0,0.0,252156.0,29358.0,2611786.0
01-01-1992,1992,Alberta,All Ages,1325935.0,1306737.0,0.0,0.0,252156.0,29358.0,2611786.0
01-01-1992,1992,Alberta,Children (0–17),346211.0,328137.75,0.0,0.0,252156.0,29358.0,2611786.0
01-01-1992,1992,Alberta,Elderly (90+),2274.0,5124.0,0.0,0.0,252156.0,29358.0,2611786.0
01-01-1992,1992,Alberta,Working Age (15–64),884433.6666666666,852074.3333333334,0.0,0.0,252156.0,29358.0,2611786.0
01-01-1992,1992,Alberta,Youth & Adults (15–49),746199.0,718319.0,0.0,0.0,252156.0,29358.0,2611786.0
01-01-1992,1992,British Columbia,Adults (18+),1303546.0,1338024.0,0.0,0.0,276856.0,49230.0,3423217.0
01-01-1992,1992,British Columbia,All Ages,1727639.0,1741163.0,0.0,0.0,276856.0,49230.0,3423217.0
01-01-1992,1992,British Columbia,Children (0–17),390035.0,371133.0,0.0,0.0,276856.0,49230.0,3423217.0
01-01-1992,1992,British Columbia,Elderly (90+),3721.0,9371.0,0.0,0.0,276856.0,49230.0,3423217.0
01-01-1992,1992,British Columbia,Working Age (15–64),1158676.6666666667,1131139.6666666667,0.0,0.0,276856.0,49230.0,3423217.0
01-01-1992,1992,British Columbia,Youth & Adults (15–49),940698.0,918265.0,0.0,0.0,276856.0,49230.0,3423217.0
01-01-1992,1992,Canada,Adults (18+),10450949.0,10891086.0,0.0,0.0,2370038.4,398062.4,28166200.0
01-01-1992,1992,Canada,All Ages,14055134.0,14316130.0,0.0,0.0,2360423.822222222,399601.15555555554,28249800.0
01-01-1992,1992,Canada,Children (0–17),3305795.5,3143000.5,0.0,0.0,2401285.777777778,393061.44444444444,27894500.0
01-01-1992,1992,Canada,Elderly (90+),26259.0,72444.0,0.0,0.0,2365231.111111111,398831.77777777775,28208000.0
01-01-1992,1992,Canada,Working Age (15–64),9467170.666666666,9357551.0,0.0,0.0,2379652.9777777777,396523.64444444445,28082600.0
01-01-1992,1992,Canada,Youth & Adults (15–49),7763500.0,7616941.0,0.0,0.0,2389267.5555555555,394984.8888888889,27999000.0
01-01-1992,1992,Manitoba,Adults (18+),402314.0,418819.0,0.0,0.0,99530.0,17960.0,1109978.0
01-01-1992,1992,Manitoba,All Ages,551824.0,560865.0,0.0,0.0,99530.0,17960.0,1109978.0
01-01-1992,1992,Manitoba,Children (0–17),137016.5,130321.5,0.0,0.0,99530.0,17960.0,1109978.0
01-01-1992,1992,Manitoba,Elderly (90+),1474.0,3886.0,0.0,0.0,99530.0,17960.0,1109978.0
01-01-1992,1992,Manitoba,Working Age (15–64),356187.0,347987.6666666667,0.0,0.0,99530.0,17960.0,1109978.0
01-01-1992,1992,Manitoba,Youth & Adults (15–49),293777.0,283887.0,0.0,0.0,99530.0,17960.0,1109978.0
01-01-1992,1992,New Brunswick,Adults (18+),274982.0,286136.0,0.0,0.0,56320.0,11218.0,746571.0
01-01-1992,1992,New Brunswick,All Ages,370892.0,377229.0,0.0,0.0,56320.0,11218.0,746571.0
01-01-1992,1992,New Brunswick,Children (0–17),87005.25,82586.0,0.0,0.0,56320.0,11218.0,746571.0
01-01-1992,1992,New Brunswick,Elderly (90+),821.0,2189.0,0.0,0.0,56320.0,11218.0,746571.0
01-01-1992,1992,New Brunswick,Working Age (15–64),248540.0,245218.66666666666,0.0,0.0,56320.0,11218.0,746571.0
01-01-1992,1992,New Brunswick,Youth & Adults (15–49),206837.0,202270.0,0.0,0.0,56320.0,11218.0,746571.0
01-01-1992,1992,Newfoundland and Labrador,Adults (18+),210563.0,212398.0,0.0,0.0,41496.0,7596.0,579425.0
01-01-1992,1992,Newfoundland and Labrador,All Ages,290983.0,289126.0,0.0,0.0,41496.0,7596.0,579425.0
01-01-1992,1992,Newfoundland and Labrador,Children (0–17),72155.0,69174.25,0.0,0.0,41496.0,7596.0,579425.0
01-01-1992,1992,Newfoundland and Labrador,Elderly (90+),447.0,1059.0,0.0,0.0,41496.0,7596.0,579425.0
01-01-1992,1992,Newfoundland and Labrador,Working Age (15–64),195993.0,191338.66666666666,0.0,0.0,41496.0,7596.0,579425.0
01-01-1992,1992,Newfoundland and Labrador,Youth & Adults (15–49),166346.0,162609.0,0.0,0.0,41496.0,7596.0,579425.0
01-01-1992,1992,Northwest Territories,Adults (18+),13909.0,12288.0,,,,,
01-01-1992,1992,Northwest Territories,All Ages,20680.0,18736.0,,,,,
01-01-1992,1992,Northwest Territories,Children (0–17),6309.75,6033.25,,,,,
01-01-1992,1992,Northwest Territories,Elderly (90+),24.0,31.0,,,,,
01-01-1992,1992,Northwest Territories,Working Age (15–64),13866.0,12257.0,,,,,
01-01-1992,1992,Northwest Territories,Youth & Adults (15–49),12478.0,11222.0,,,,,
01-01-1992,1992,Nova Scotia,Adults (18+),338108.0,356535.0,0.0,0.0,71352.0,15088.0,917302.0
01-01-1992,1992,Nova Scotia,All Ages,453153.0,466298.0,0.0,0.0,71352.0,15088.0,917302.0
01-01-1992,1992,Nova Scotia,Children (0–17),104830.25,100246.5,0.0,0.0,71352.0,15088.0,917302.0
01-01-1992,1992,Nova Scotia,Elderly (90+),962.0,2905.0,0.0,0.0,71352.0,15088.0,917302.0
01-01-1992,1992,Nova Scotia,Working Age (15–64),303270.6666666667,302007.6666666667,0.0,0.0,71352.0,15088.0,917302.0
01-01-1992,1992,Nova Scotia,Youth & Adults (15–49),249786.0,246777.0,0.0,0.0,71352.0,15088.0,917302.0
01-01-1992,1992,Nunavut,Adults (18+),6926.0,5985.0,,,,,
01-01-1992,1992,Nunavut,All Ages,12056.0,10827.0,,,,,
01-01-1992,1992,Nunavut,Children (0–17),4815.25,4534.0,,,,,
01-01-1992,1992,Nunavut,Elderly (90+),0.0,2.0,,,,,
01-01-1992,1992,Nunavut,Working Age (15–64),7109.666666666667,6199.666666666667,,,,,
01-01-1992,1992,Nunavut,Youth & Adults (15–49),6501.0,5732.0,,,,,
01-01-1992,1992,Ontario,Adults (18+),3904616.0,4102618.0,0.0,0.0,904662.0,146412.0,10488022.0
01-01-1992,1992,Ontario,All Ages,5220605.0,5351600.0,0.0,0.0,904662.0,146412.0,10488022.0
01-01-1992,1992,Ontario,Children (0–17),1208210.0,1147060.75,0.0,0.0,904662.0,146412.0,10488022.0
01-01-1992,1992,Ontario,Elderly (90+),9267.0,28379.0,0.0,0.0,904662.0,146412.0,10488022.0
01-01-1992,1992,Ontario,Working Age (15–64),3531785.3333333335,3518793.0,0.0,0.0,904662.0,146412.0,10488022.0
01-01-1992,1992,Ontario,Youth & Adults (15–49),2884318.0,2857083.0,0.0,0.0,904662.0,146412.0,10488022.0
01-01-1992,1992,Prince Edward Island,Adults (18+),46500.0,49126.0,0.0,0.0,11094.0,2228.0,130604.0
01-01-1992,1992,Prince Edward Island,All Ages,64531.0,66296.0,0.0,0.0,11094.0,2228.0,130604.0
01-01-1992,1992,Prince Edward Island,Children (0–17),16490.0,15721.5,0.0,0.0,11094.0,2228.0,130604.0
01-01-1992,1992,Prince Edward Island,Elderly (90+),197.0,522.0,0.0,0.0,11094.0,2228.0,130604.0
01-01-1992,1992,Prince Edward Island,Working Age (15–64),41258.666666666664,41142.333333333336,0.0,0.0,11094.0,2228.0,130604.0
01-01-1992,1992,Prince Edward Island,Youth & Adults (15–49),33773.0,33649.0,0.0,0.0,11094.0,2228.0,130604.0
01-01-1992,1992,Quebec,Adults (18+),2632052.0,2781659.0,0.0,0.0,575094.0,97648.0,7082645.0
01-01-1992,1992,Quebec,All Ages,3501166.0,3608844.0,0.0,0.0,575094.0,97648.0,7082645.0
01-01-1992,1992,Quebec,Children (0–17),794891.25,756863.25,0.0,0.0,575094.0,97648.0,7082645.0
01-01-1992,1992,Quebec,Elderly (90+),5313.0,15514.0,0.0,0.0,575094.0,97648.0,7082645.0
01-01-1992,1992,Quebec,Working Age (15–64),2407572.6666666665,2398959.3333333335,0.0,0.0,575094.0,97648.0,7082645.0
01-01-1992,1992,Quebec,Youth & Adults (15–49),1961952.0,1924684.0,0.0,0.0,575094.0,97648.0,7082645.0
01-01-1992,1992,Saskatchewan,Adults (18+),354740.0,365520.0,0.0,0.0,90054.0,15586.0,1001136.0
01-01-1992,1992,Saskatchewan,All Ages,499985.0,504010.0,0.0,0.0,90054.0,15586.0,1001136.0
01-01-1992,1992,Saskatchewan,Children (0–17),133649.75,127358.25,0.0,0.0,90054.0,15586.0,1001136.0
01-01-1992,1992,Saskatchewan,Elderly (90+),1755.0,3457.0,0.0,0.0,90054.0,15586.0,1001136.0
01-01-1992,1992,Saskatchewan,Working Age (15–64),307480.3333333333,300302.3333333333,0.0,0.0,90054.0,15586.0,1001136.0
01-01-1992,1992,Saskatchewan,Youth & Adults (15–49),251400.0,243414.0,0.0,0.0,90054.0,15586.0,1001136.0
01-01-1992,1992,Yukon,Adults (18+),11198.0,10280.0,0.0,0.0,3174.0,234.0,29239.0
01-01-1992,1992,Yukon,All Ages,15685.0,14399.0,0.0,0.0,3174.0,234.0,29239.0
01-01-1992,1992,Yukon,Children (0–17),4176.5,3830.5,0.0,0.0,3174.0,234.0,29239.0
01-01-1992,1992,Yukon,Elderly (90+),4.0,5.0,0.0,0.0,3174.0,234.0,29239.0
01-01-1992,1992,Yukon,Working Age (15–64),10997.0,10130.666666666666,0.0,0.0,3174.0,234.0,29239.0
01-01-1992,1992,Yukon,Youth & Adults (15–49),9435.0,9030.0,0.0,0.0,3174.0,234.0,29239.0
01-01-1993,1993,Alberta,Adults (18+),964607.0,966939.0,0.0,0.0,241708.0,30676.0,2650886.0
01-01-1993,1993,Alberta,All Ages,1342354.0,1324938.0,0.0,0.0,241708.0,30676.0,2650886.0
01-01-1993,1993,Alberta,Children (0–17),348976.75,330673.25,0.0,0.0,241708.0,30676.0,2650886.0
01-01-1993,1993,Alberta,Elderly (90+),2420.0,5359.0,0.0,0.0,241708.0,30676.0,2650886.0
01-01-1993,1993,Alberta,Working Age (15–64),894803.3333333334,863601.3333333334,0.0,0.0,241708.0,30676.0,2650886.0
01-01-1993,1993,Alberta,Youth & Adults (15–49),752721.0,725374.0,0.0,0.0,241708.0,30676.0,2650886.0
01-01-1993,1993,British Columbia,Adults (18+),1341710.0,1377687.0,0.0,0.0,275950.0,51528.0,3522509.0
01-01-1993,1993,British Columbia,All Ages,1776929.0,1790843.0,0.0,0.0,275950.0,51528.0,3522509.0
01-01-1993,1993,British Columbia,Children (0–17),400287.5,380632.5,0.0,0.0,275950.0,51528.0,3522509.0
01-01-1993,1993,British Columbia,Elderly (90+),3846.0,9496.0,0.0,0.0,275950.0,51528.0,3522509.0
01-01-1993,1993,British Columbia,Working Age (15–64),1193148.3333333333,1165964.6666666667,0.0,0.0,275950.0,51528.0,3522509.0
01-01-1993,1993,British Columbia,Youth & Adults (15–49),967763.0,944978.0,0.0,0.0,275950.0,51528.0,3522509.0
01-01-1993,1993,Canada,Adults (18+),10573132.0,11029444.0,0.0,0.0,2317158.222222222,406525.55555555556,28626000.0
01-01-1993,1993,Canada,All Ages,14205297.0,14479467.0,0.0,0.0,2307543.644444444,408064.31111111114,28709600.0
01-01-1993,1993,Canada,Children (0–17),3334028.0,3168190.0,0.0,0.0,2348405.5999999996,401524.6,28354300.0
01-01-1993,1993,Canada,Elderly (90+),27164.0,75249.0,0.0,0.0,2312350.933333333,407294.93333333335,28667800.0
01-01-1993,1993,Canada,Working Age (15–64),9555914.0,9453811.333333334,0.0,0.0,2326772.8,404986.8,28542400.0
01-01-1993,1993,Canada,Youth & Adults (15–49),7813635.0,7672923.0,0.0,0.0,2336387.3777777776,403448.0444444445,28458800.0
01-01-1993,1993,Manitoba,Adults (18+),404340.0,421471.0,0.0,0.0,100274.0,18598.0,1114180.0
01-01-1993,1993,Manitoba,All Ages,553926.0,563692.0,0.0,0.0,100274.0,18598.0,1114180.0
01-01-1993,1993,Manitoba,Children (0–17),137402.75,130635.75,0.0,0.0,100274.0,18598.0,1114180.0
01-01-1993,1993,Manitoba,Elderly (90+),1510.0,3990.0,0.0,0.0,100274.0,18598.0,1114180.0
01-01-1993,1993,Manitoba,Working Age (15–64),357362.3333333333,349558.0,0.0,0.0,100274.0,18598.0,1114180.0
01-01-1993,1993,Manitoba,Youth & Adults (15–49),294144.0,284652.0,0.0,0.0,100274.0,18598.0,1114180.0
01-01-1993,1993,New Brunswick,Adults (18+),276581.0,287870.0,0.0,0.0,54288.0,11612.0,747892.0
01-01-1993,1993,New Brunswick,All Ages,371362.0,377450.0,0.0,0.0,54288.0,11612.0,747892.0
01-01-1993,1993,New Brunswick,Children (0–17),86048.0,81365.25,0.0,0.0,54288.0,11612.0,747892.0
01-01-1993,1993,New Brunswick,Elderly (90+),841.0,2252.0,0.0,0.0,54288.0,11612.0,747892.0
01-01-1993,1993,New Brunswick,Working Age (15–64),249505.0,245865.0,0.0,0.0,54288.0,11612.0,747892.0
01-01-1993,1993,New Brunswick,Youth & Adults (15–49),206383.0,202072.0,0.0,0.0,54288.0,11612.0,747892.0
01-01-1993,1993,Newfoundland and Labrador,Adults (18+),212281.0,214542.0,0.0,0.0,38524.0,7780.0,580819.0
01-01-1993,1993,Newfoundland and Labrador,All Ages,290650.0,289327.0,0.0,0.0,38524.0,7780.0,580819.0
01-01-1993,1993,Newfoundland and Labrador,Children (0–17),70427.0,67421.0,0.0,0.0,38524.0,7780.0,580819.0
01-01-1993,1993,Newfoundland and Labrador,Elderly (90+),459.0,1089.0,0.0,0.0,38524.0,7780.0,580819.0
01-01-1993,1993,Newfoundland and Labrador,Working Age (15–64),197014.33333333334,192720.66666666666,0.0,0.0,38524.0,7780.0,580819.0
01-01-1993,1993,Newfoundland and Labrador,Youth & Adults (15–49),166303.0,162802.0,0.0,0.0,38524.0,7780.0,580819.0
01-01-1993,1993,Northwest Territories,Adults (18+),13957.0,12596.0,,,,,
01-01-1993,1993,Northwest Territories,All Ages,20712.0,19108.0,,,,,
01-01-1993,1993,Northwest Territories,Children (0–17),6281.75,6072.0,,,,,
01-01-1993,1993,Northwest Territories,Elderly (90+),19.0,31.0,,,,,
01-01-1993,1993,Northwest Territories,Working Age (15–64),13933.0,12563.666666666666,,,,,
01-01-1993,1993,Northwest Territories,Youth & Adults (15–49),12500.0,11491.0,,,,,
01-01-1993,1993,Nova Scotia,Adults (18+),340571.0,359591.0,0.0,0.0,69610.0,15118.0,922128.0
01-01-1993,1993,Nova Scotia,All Ages,455072.0,468853.0,0.0,0.0,69610.0,15118.0,922128.0
01-01-1993,1993,Nova Scotia,Children (0–17),104492.25,99874.5,0.0,0.0,69610.0,15118.0,922128.0
01-01-1993,1993,Nova Scotia,Elderly (90+),965.0,3000.0,0.0,0.0,69610.0,15118.0,922128.0
01-01-1993,1993,Nova Scotia,Working Age (15–64),305138.0,303921.6666666667,0.0,0.0,69610.0,15118.0,922128.0
01-01-1993,1993,Nova Scotia,Youth & Adults (15–49),249886.0,247307.0,0.0,0.0,69610.0,15118.0,922128.0
01-01-1993,1993,Nunavut,Adults (18+),7164.0,6130.0,,,,,
01-01-1993,1993,Nunavut,All Ages,12473.0,11086.0,,,,,
01-01-1993,1993,Nunavut,Children (0–17),4987.25,4632.0,,,,,
01-01-1993,1993,Nunavut,Elderly (90+),4.0,6.0,,,,,
01-01-1993,1993,Nunavut,Working Age (15–64),7326.0,6358.0,,,,,
01-01-1993,1993,Nunavut,Youth & Adults (15–49),6700.0,5824.0,,,,,
01-01-1993,1993,Ontario,Adults (18+),3944116.0,4152244.0,0.0,0.0,888712.0,151706.0,10629994.0
01-01-1993,1993,Ontario,All Ages,5274868.0,5415170.0,0.0,0.0,888712.0,151706.0,10629994.0
01-01-1993,1993,Ontario,Children (0–17),1223992.0,1161877.5,0.0,0.0,888712.0,151706.0,10629994.0
01-01-1993,1993,Ontario,Elderly (90+),9664.0,29413.0,0.0,0.0,888712.0,151706.0,10629994.0
01-01-1993,1993,Ontario,Working Age (15–64),3555120.6666666665,3550056.3333333335,0.0,0.0,888712.0,151706.0,10629994.0
01-01-1993,1993,Ontario,Youth & Adults (15–49),2895165.0,2873579.0,0.0,0.0,888712.0,151706.0,10629994.0
01-01-1993,1993,Prince Edward Island,Adults (18+),47149.0,49758.0,0.0,0.0,10520.0,2290.0,131564.0
01-01-1993,1993,Prince Edward Island,All Ages,65260.0,66917.0,0.0,0.0,10520.0,2290.0,131564.0
01-01-1993,1993,Prince Edward Island,Children (0–17),16594.75,15731.0,0.0,0.0,10520.0,2290.0,131564.0
01-01-1993,1993,Prince Edward Island,Elderly (90+),207.0,516.0,0.0,0.0,10520.0,2290.0,131564.0
01-01-1993,1993,Prince Edward Island,Working Age (15–64),41842.666666666664,41684.0,0.0,0.0,10520.0,2290.0,131564.0
01-01-1993,1993,Prince Edward Island,Youth & Adults (15–49),34220.0,34013.0,0.0,0.0,10520.0,2290.0,131564.0
01-01-1993,1993,Quebec,Adults (18+),2652995.0,2802900.0,0.0,0.0,554248.0,103422.0,7137514.0
01-01-1993,1993,Quebec,All Ages,3524420.0,3632117.0,0.0,0.0,554248.0,103422.0,7137514.0
01-01-1993,1993,Quebec,Children (0–17),796927.25,758520.5,0.0,0.0,554248.0,103422.0,7137514.0
01-01-1993,1993,Quebec,Elderly (90+),5418.0,16408.0,0.0,0.0,554248.0,103422.0,7137514.0
01-01-1993,1993,Quebec,Working Age (15–64),2420970.3333333335,2410189.0,0.0,0.0,554248.0,103422.0,7137514.0
01-01-1993,1993,Quebec,Youth & Adults (15–49),1965840.0,1927711.0,0.0,0.0,554248.0,103422.0,7137514.0
01-01-1993,1993,Saskatchewan,Adults (18+),356265.0,367341.0,0.0,0.0,85662.0,16328.0,1003443.0
01-01-1993,1993,Saskatchewan,All Ages,501419.0,505481.0,0.0,0.0,85662.0,16328.0,1003443.0
01-01-1993,1993,Saskatchewan,Children (0–17),133451.0,126919.25,0.0,0.0,85662.0,16328.0,1003443.0
01-01-1993,1993,Saskatchewan,Elderly (90+),1811.0,3679.0,0.0,0.0,85662.0,16328.0,1003443.0
01-01-1993,1993,Saskatchewan,Working Age (15–64),308585.0,301133.0,0.0,0.0,85662.0,16328.0,1003443.0
